How many times a week do you exercise?,How many times a week do you wash your hair?,Allergies?,Linear Math?,"Of the dozen colors, what is your hair color?",Longest Hair Length?,"Of the dozen colors, what is your eye color?",School Club?,Favorite Variety of Cookie?,Favorite flavor of ice cream?,Most Favorite Pizza Topping?,Least Favorite Pizza Topping?,Favorite computer language of those options?,Avg HRS SLEEP,Breakfast Drink,Usual night sleep,Median Sleep,Loaded Question: Watching Sports,Cup Mouth Down or Up?,Elevator Usage?,Left or right foot going up stairs?,Raise one eyebrow?,Vulcan sign of greeting?,Wiggle Ears?,Wiggle Ears Separately?,Watch Hand?,Right or left Footed?  Going up Stairs?,Shirt Color now?,How do you like your eggs?,Can you Juggle?,Skydiver?,Shave Frequency?,Like Dressing Up?,Can you tie a mens tie?,French Braid Hair?,Snack Food Preference?,Glasses of Water?,Do you wear glasses?,Eye lens issues?,Toilet Paper Roll Out Over Front,Do you have a pet?,Are you a dog person?,Rat Person?,Turtle Person?,Like to play Music?,Like Baking?,Like Wood Working?,Sewing?,Gardening?,Photography?,Electronics?,Building Boats?,Doll Houses?,Making Engines?,Making Miniatures?,Raising Chickens?,Horseback riding?,Teaching Others?,Helping Children?,Playing Cards?,Playing Computer Games?,Watching Movies?,Poetry?,Shopping?,What order do you put your socks and pants on?,WantAssignmentToGroup,Watch Hand?
2,7,Pollens,1,Brown,SixToTen,Brown,UN,Peanut butter,Strawberry,Pineapples,Spinach,JavaScript,6-8,Milk,6-8,7,Somewhat,Mouth up,I usually ride the elevator.,right,yes,yes,no,no,left,right,red,Scrambled,no,no,Twice a week,No,No_I_CanKnot,No,Popcorn,5 to 8,Yes.,I use corrective lenses or contacts,1,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,pants before socks,yes,left
6,3_to_4," No, never touch the stuff.",1,Brown,SixUnder,Brown,none,Chocolate chip,chocolate,Pepperoni,Anchovies (fish),ASSEMBLY (Intel or Motorola),7,water,7,7,Somewhat,Mouth up, the stairs are always faster.,dont know,yes,yes,yes,no,left,right,green,Scrambled,yes,no,Twice a week,Yes,Yes - Full Windsor,No,bacon,5 to 8,"No, not yet."," I have perfect vision, so far.",out over the back,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,socks before pants,no,left
3,7,Pollens,1,Brown,SixUnder,Blue,CS_Club,Macadamia nut,Chocolate,Sausage,Green Peppers or Sweet Peppers,JavaScript,7,Coffee,7,~7,Somewhat,Mouth down, the stairs are always faster.,right,yes,yes,no,no,right,right,pink,Scrambled,no,no,Once a week,Yes,Half Windsor,No,Popcorn,3 to 4,"No, not yet."," I have perfect vision, so far.",1,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,dont know,yes,left
5,5_to_6," No, never touch the stuff.",1,Yellow,SixUnder,Blue,none,Oatmeal raisin,mint cookies and cream,Sausage,Anchovies (fish),JavaScript,8,orange juice,9,9,More than average,Mouth down, the stairs are always faster.,right,no,yes,yes,no,right,ambidextrous,green,Omlette,yes,no,Once a week,Yes,Yes - Half Windsor,No,Carrots and cellery,5 to 8,"No, not yet."," I have perfect vision, so far.",out over the front,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
2,7," No, never touch the stuff.",1,Brown,SixUnder,Cyan (light blue),none,Chocolate chip,Mint chocolate chip,Sausage,Pineapples (not really apples),JavaScript,8,sports drink,8,8,A lot more than average,Mouth up, the stairs are always faster.,right,yes,yes,no,no,left,left,blue,Omlette,yes,no,Once a day,Yes,Yes - Half Windsor,No,carrots and cellery,3 to 4,"No, not yet."," I have perfect vision, so far.",out over the front,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,pants before socks,no,right
1,7,No,1,Black,SixToTen,Black,Math,Double chocolate,Mint Chip,Olives,Spinach,BASIC,8,Milk,8,8,Somewhat,Mouth up, the stairs are always faster.,right,yes,yes,no,no,left,right,gray,Over easy,no,no,Twice a week,No,Full Windsor,No,M&Ms or candy,1 to 2,Yes.,I use corrective lenses or contacts,0,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,pants before socks,yes,right
4,3_to_4,No,1,Brown,OverTen,Brown,Anime,Chocolate chip,Vanilla,No topping.Ê Just cheese.,Bacon,JavaScript,8.25,Tea,8.5,8.5,Not at all,Mouth down, the stairs are always faster.,right,yes,yes,yes,no,right,left,blue,Scrambled,no,no,Once a day,Yes,No_I_CanKnot,No,M&Ms or candy,3 to 4,"No, not yet."," I have perfect vision, so far.",1,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,yes,right
0,2,No,1,Black,SixToTen,Black,none,Chocolate chip,mint chocolate chip,Mushrooms,Anchovies ,JavaScript,8,Tea,8,8,Not at all,Mouth up,I always ride the elevator.,ambidextrous,yes,yes,no,no,right,left,black,Hate eggs,no,no,Once a week,Yes,No_I_CanKnot,No,Popcorn,5 to 8,"No, not yet."," I have perfect vision, so far.",1,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,yes,right
3,7,Pollens,1,Black,SixToTen,Brown,none,Chocolate chip,cherry garcia,Bacon,Black Olives,JavaScript,6,Water,8,6,Not at all,Mouth up,I usually ride the elevator.,right,yes,yes,no,no,left,right,black,Over easy,no,no,Once a week,No,Half Windsor,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,yes,right
1,7,Pollens,1,Black,SixToTen,Brown,Chess,Chocolate chip,Vanilla,Pepperoni,Onions ,JavaScript,7,Tea,7,7,Somewhat,Mouth up, the stairs are always faster.,right,yes,yes,no,no,left,right,white,Hate eggs,no,no,Once a week,No,Half Windsor,No,Carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,1,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,no,pants before socks,yes,right
3,3_to_4,Pollens,1,Black,SixUnder,Black,none,Chocolate chip,chocolate,Onions,Pineapples ,JavaScript,7,Milk,7,7,About average,Mouth up, the stairs are always faster.,right,no,no,no,no,left,right,blue,Omlette,no,no,Once a week,No,No_I_CanKnot,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,pants before socks,no,left
1,3_to_4,Pollens,1,Black,OverFifteen,Brown,robotics,Macadamia nut,pistachio,Mushrooms,Black Olives,JavaScript,7,Coffee,7,7,Not at all,Mouth up, the stairs are always faster.,right,yes,yes,no,no,right,right,green,Omlette,no,no,Once a week,No,No_I_CanKnot,No,Popcorn,3 to 4,Yes.,I use corrective lenses or contacts,1,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,pants before socks,yes,left
4,5_to_6,No,1,Brown,SixUnder,Blue,none,Chocolate chip,vanilla,Pepperoni,Anchovies ,JavaScript,9,Orange juice,9,9,Not at all,Mouth up,I usually ride the elevator.,right,yes,yes,no,no,right,right,black,Scrambled,yes,no,Twice a week,Yes,Full Windsor,No,Popcorn,3 to 4,"No, not yet."," I have perfect vision, so far.",0,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,pants before socks,yes,right
2,7,No,1,Brown,SixUnder,Brown,Chess,Sugar cookies,coffee,Pineapples,Onions ,JavaScript,6,Tea,6,5,Somewhat,Mouth up, the stairs are always faster.,right,yes,yes,yes,yes,right,right,gray,Scrambled,no,no,Twice a week,Yes,Full Windsor,No,Tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,1,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,socks before pants,yes,right
4,3_to_4,No,1,Brown,SixUnder,Brown,Science,Chocolate chip,Black Rasberry Chip,Sausage,Black Olives,JavaScript,7,Fruit juice,7,7,About average,Mouth up, the stairs are always faster.,left,yes,yes,no,no,right,left,red,Over easy,no,no,Once a day,Yes,No_I_CanKnot,No,Carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,1,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
4,3_to_4,No,1,Brown,SixToTen,Blue,Radio,Chocolate chip,mint chocolate Oreo,Mushrooms,Shrimp  ,JavaScript,7,Coffee,7,7,A lot more than average,Mouth down, the stairs are always faster.,right,yes,yes,no,no,right,left,black,Over easy,no,no,Shave? Never touch the stuff!,Yes,Half Windsor,No,Popcorn,5 to 8,"No, not yet."," I have perfect vision, so far.",1,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,socks before pants,yes,right
3,7,Pollens,1,Black,SixToTen,Black,none,Double chocolate,vanilla,No topping.Ê Just cheese.,Shrimp  ,ASSEMBLY (Intel or Motorola),9,Coffee,9,9,Not at all,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,right,pink,Over easy,no,no,Once a week,Yes,Full Windsor,No,Carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
2,7,No,1,Brown,SixUnder,Blue,Tech Crew,Sugar cookies,cookies and cream,Sausage,Shrimp  ,ASSEMBLY (Intel or Motorola),7,Fruit juice,7,7,Somewhat,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,right,blue,Over easy,no,no,Twice a week,No,Half Windsor,No,Popcorn,3 to 4,"No, not yet."," I have perfect vision, so far.",0,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,pants before socks,yes,right
5,3_to_4,Scents,1,Brown,SixToTen,Green,GameDev,Oatmeal raisin,Mint Chocolate Chip,Olives,Mushrooms,JavaScript,8,Water,8,8,More than average,Mouth up, the stairs are always faster.,left,yes,yes,no,no,left,left,blue,Scrambled,no,no,Twice a week,Yes,Full Windsor,No,Tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,1,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,socks before pants,yes,left
0,2,Pollens,1,Brown,OverTen,Brown,Robotics,Chocolate chip,Mint chocolate chip,Sausage,Onions ,Ruby,7,Milk,8,7:30,Not at all,Mouth down,Wait. There is an elevator in the building?,right,yes,yes,yes,yes,left,right,black,Scrambled,no,no,Once a day,No,Half Windsor,No,Popcorn,3 to 4,"No, not yet."," I have perfect vision, so far.",1,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,socks before pants,yes,left
3,7,No,1,Brown,SixToTen,Brown,none,Peanut butter,mint chocolate chip,No topping.Ê Just cheese.,Shrimp  ,PERL,7,Tea,7,7,Not at all,Mouth up, the stairs are always faster.,right,yes,no,no,no,right,right,white,Omlette,no,no,Shave? Never touch the stuff!,No,No_I_CanKnot,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,1,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,pants before socks,yes,right
6,7,No,1,Brown,SixToTen,Brown,none,Chocolate chip,Mint Chocolate Chip,No topping.Ê Just cheese.,Shrimp  ,Ruby,8,Orange juice,8,8,Not at all,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,left,red,Fried,no,no,Twice a week,No,Half Windsor,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,1,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,pants before socks,no,left
1,3_to_4,No,1,Brown,OverFifteen,Brown,Math,Double chocolate,chocolate,No topping.Ê Just cheese.,Pineapples ,ASSEMBLY (Intel or Motorola),8,Orange juice,8,8,About average,Mouth up, the stairs are always faster.,right,yes,yes,no,no,right,right,gray,Fried,no,no,Once a week,Yes,No_I_CanKnot,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,1,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,pants before socks,no,left
3,7,No,1,Yellow,SixUnder,Green,Math,I dont like cookies. They are crumby.,Sweet corn and goat cheese,Anchovies,Plain cheese,JavaScript,8,Coffee,8,8,Somewhat,Mouth down, the stairs are always faster.,left,yes,yes,yes,yes,right,right,black,Over easy,no,no,Twice a week,Yes,Full Windsor,No,M&Ms or candy,5 to 8,Yes.," I have perfect vision, so far.",1,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,dont know,yes,left
7,5_to_6,Pollens,1,Brown,SixUnder,Green,none,Peanut butter,caramel,No topping.Ê Just cheese.,Anchovies ,ASSEMBLY (Intel or Motorola),6,Water,6,6,Not at all,Mouth down, the stairs are always faster.,right,yes,yes,no,no,left,right,orange,Over easy,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,Bacon,3 to 4,Yes.,I use corrective lenses or contacts,1,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,no,left
2,3_to_4,No,1,Black,OverTen,Brown,Library,Butter,Saffron,Olives,Pineapples ,JavaScript,8,Tea,8,8,Not at all,Mouth down,I usually ride the elevator.,right,no,yes,no,no,right,left,green,Over easy,no,no,Once a week,Yes,Half Windsor,No,Carrots and cellery,1 to 2,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,pants before socks,no,right
3,3_to_4,No,1,Black,SixUnder,Black,none,Chocolate chip,Chocolate,Bacon,Anchovies ,JavaScript,6,Milk,6,5,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,left,right,gray,Omlette,no,no,Twice a week,No,No_I_CanKnot,No,Carrots and cellery,1 to 2,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,no,left
3,7,No,1,Black,SixUnder,Black,NCC,Chocolate chip,Peanut butter pretzel,Ham (or or Canadian Bacon),Hamburger,JavaScript,8,Milk,10,8,More than average,Mouth down,I usually ride the elevator.,right,yes,yes,no,no,left,right,black,Omlette,yes,no,Once a week,Yes,Full Windsor,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,pants before socks,yes,left
5,3_to_4,No,1,Black,SixUnder,Brown,none,Chocolate chip,roasted almond,Mushrooms,Plain cheese,JavaScript,6,Coffee,6,6,More than average,Mouth up, the stairs are always faster.,right,no,yes,no,no,right,right,red,Omlette,no,no,Twice a week,Yes,Full Windsor,No,Carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
4,7,No,1,Black,SixUnder,Brown,none,Chocolate chip,Strawberry,Mushrooms,Plain cheese,JavaScript,7,Water,7,0,Not at all,Mouth up, the stairs are always faster.,right,no,no,yes,no,left,right,blue,Fried,no,no,Twice a week,Yes,Half Windsor,No,Bacon,3 to 4,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
0,2,No,1,Black,SixUnder,Brown,none,Chocolate chip,chocolate chips,No topping. Just cheese.,Onions ,JavaScript,6,Milk,6,6,More than average,Mouth down, the stairs are always faster.,right,no,no,no,no,left,right,red,Hate eggs,no,no,Once a week,No,Half Windsor,No,Bacon,3 to 4,"No, not yet.","I have perfect vision, so far.",0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,left
2,3_to_4,No,1,Black,SixUnder,Brown,Trivia,Chocolate chip,Vanilla,Olives,Pepperoni,JavaScript,7,Milk,8,7,About average,Mouth down, the stairs are always faster.,ambidextrous,no,yes,no,no,left,right,blue,Scrambled,no,no,Once a week,No,No_I_CanKnot,No,Popcorn,5 to 8,Yes.,I use corrective lenses or contacts,0,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,yes,left
2,5_to_6,No,1,Black,SixToTen,Brown,Overly Dramatic Club,Chocolate chip,cookies and cream,Onions,Plain cheese,JavaScript,7,Milk,6,6,More than average,Mouth up,I usually ride the elevator.,right,no,yes,no,no,left,right,blue,Omlette,yes,no,Twice a week,No,Half Windsor,No,Bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",0,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
3,1,No,0,Brown,SixUnder,Brown,none,Chocolate chip,strawberry,Onions,Bacon,JavaScript,7,Fruit juice,7,7,About average,Mouth up,Wait. There is an elevator in the building?,right,no,no,no,no,right,right,orange,Hate eggs,no,no,Twice a week,No,Full Windsor,Hair? Never touch the stuff.,Bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",0,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
2,7,Pollens,1,Black,SixUnder,Black,none,Chocolate chip,Mint,Onions,Pepperoni,JavaScript,6,Milk,6,6,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,left,right,red,Scrambled,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,Carrots and cellery,3 to 4,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,pants before socks,no,right
3,3_to_4,No,1,Black,SixUnder,Brown,none,Chocolate chip,chocolate,Onions,Anchovies ,JavaScript,6,Milk,8,6,A lot more than average,Mouth down, the stairs are always faster.,right,no,yes,no,no,left,right,white,Omlette,no,no,Once a week,Yes,No_I_CanKnot,No,Carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
2,3_to_4,Scents,1,Black,SixUnder,Black,Science,Chocolate chip,Chocolate,Onions,Spinach,JavaScript,7,Tea,8,6.5,More than average,Mouth down, the stairs are always faster.,right,no,yes,yes,no,right,left,blue,Hate eggs,yes,no,Once a week,No,No_I_CanKnot,Hair? Never touch the stuff.,Carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,no,left
3,3_to_4,No,1,Black,SixUnder,Black,none,Chocolate chip,chocolate,Onions,Pineapples ,JavaScript,6-8,Water,6-8,6,About average,Mouth up, the stairs are always faster.,right,no,yes,no,no,left,left,blue,Omlette,no,no,Twice a week,Yes,Full Windsor,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
3,5_to_6,No,1,Black,SixUnder,Brown,none,Chocolate chip,Vanilla,Onions,Anchovies ,JavaScript,5.5,Water,6,5,Not at all,Mouth up, the stairs are always faster.,right,yes,yes,yes,no,left,right,red,Scrambled,no,no,Once a day,Yes,Full Windsor,No,Tortilla chips,1 to 2,"No, not yet.","I have perfect vision, so far.",1,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,left
3,2,No,1,Black,SixUnder,Black,Math,Chocolate chip,Chocolate,Pepperoni,Pineapples ,JavaScript,7,Melted icecream,7,6,Somewhat,Mouth up, the stairs are always faster.,right,no,no,no,no,left,right,green,Scrambled,no,no,Once a week,No,No_I_CanKnot,No,Tortilla chips,1 to 2,Yes.,I use corrective lenses or contacts,0,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,socks before pants,yes,left
